date,station_number,rainfall,rain_period,rain_quality,max_temp,max_temp_days,min_temp,min_temp_days
28/02/2010 0:00,088051,NA,NA,Y,21.3,1,NA,NA
28/02/2010 0:00,088051,NA,NA,Y,NA,NA,13.1,1
1/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
1/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
1/03/2010 0:00,088051,NA,NA,Y,21.6,1,NA,NA
1/03/2010 0:00,088051,NA,NA,Y,NA,NA,10.5,1
2/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
2/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
2/03/2010 0:00,088051,NA,NA,Y,24.9,1,NA,NA
2/03/2010 0:00,088051,NA,NA,Y,NA,NA,10.9,1
3/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
3/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
3/03/2010 0:00,088051,NA,NA,Y,30.2,1,NA,NA
3/03/2010 0:00,088051,NA,NA,Y,NA,NA,10.3,1
4/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
4/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
4/03/2010 0:00,088051,NA,NA,Y,28,1,NA,NA
4/03/2010 0:00,088051,NA,NA,Y,NA,NA,12.2,1
5/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
5/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
5/03/2010 0:00,088051,NA,NA,Y,21.7,1,NA,NA
5/03/2010 0:00,088051,NA,NA,Y,NA,NA,17.3,1
6/03/2010 0:00,088037,10,1,Y,NA,NA,NA,NA
6/03/2010 0:00,088061,5.4,1,Y,NA,NA,NA,NA
6/03/2010 0:00,088051,NA,NA,Y,27.3,1,NA,NA
6/03/2010 0:00,088051,NA,NA,Y,NA,NA,17.8,1
7/03/2010 0:00,088037,21,1,Y,NA,NA,NA,NA
7/03/2010 0:00,088061,52.6,1,Y,NA,NA,NA,NA
7/03/2010 0:00,088051,NA,NA,Y,22.6,1,NA,NA
7/03/2010 0:00,088051,NA,NA,Y,NA,NA,15.9,1
8/03/2010 0:00,088037,22.2,1,Y,NA,NA,NA,NA
8/03/2010 0:00,088061,28.6,1,Y,NA,NA,NA,NA
8/03/2010 0:00,088051,NA,NA,Y,18.3,1,NA,NA
8/03/2010 0:00,088051,NA,NA,Y,NA,NA,13,1
9/03/2010 0:00,088037,11.4,1,Y,NA,NA,NA,NA
9/03/2010 0:00,088061,13.4,1,Y,NA,NA,NA,NA
9/03/2010 0:00,088051,NA,NA,Y,19.3,1,NA,NA
9/03/2010 0:00,088051,NA,NA,Y,NA,NA,12.6,1
10/03/2010 0:00,088037,0.4,1,Y,NA,NA,NA,NA
10/03/2010 0:00,088061,1.2,1,Y,NA,NA,NA,NA
10/03/2010 0:00,088051,NA,NA,Y,18.5,1,NA,NA
10/03/2010 0:00,088051,NA,NA,Y,NA,NA,7.2,1
11/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
11/03/2010 0:00,088061,1,1,Y,NA,NA,NA,NA
11/03/2010 0:00,088051,NA,NA,Y,21.6,1,NA,NA
11/03/2010 0:00,088051,NA,NA,Y,NA,NA,8,1
12/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
12/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
12/03/2010 0:00,088051,NA,NA,Y,24.1,1,NA,NA
12/03/2010 0:00,088051,NA,NA,Y,NA,NA,9,1
13/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
13/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
13/03/2010 0:00,088051,NA,NA,Y,25.1,1,NA,NA
13/03/2010 0:00,088051,NA,NA,Y,NA,NA,9.9,1
14/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
14/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
14/03/2010 0:00,088051,NA,NA,Y,25.3,1,NA,NA
14/03/2010 0:00,088051,NA,NA,Y,NA,NA,9.7,1
15/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
15/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
15/03/2010 0:00,088051,NA,NA,Y,27.3,1,NA,NA
15/03/2010 0:00,088051,NA,NA,Y,NA,NA,10.1,1
16/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
16/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
16/03/2010 0:00,088051,NA,NA,Y,29.2,1,NA,NA
16/03/2010 0:00,088051,NA,NA,Y,NA,NA,11.7,1
17/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
17/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
17/03/2010 0:00,088051,NA,NA,Y,31.1,1,NA,NA
17/03/2010 0:00,088051,NA,NA,Y,NA,NA,13.1,1
18/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
18/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
18/03/2010 0:00,088051,NA,NA,Y,30.8,1,NA,NA
18/03/2010 0:00,088051,NA,NA,Y,NA,NA,18.5,1
19/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
19/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
19/03/2010 0:00,088051,NA,NA,Y,28.8,1,NA,NA
19/03/2010 0:00,088051,NA,NA,Y,NA,NA,17.5,1
20/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
20/03/2010 0:00,088061,5,1,Y,NA,NA,NA,NA
20/03/2010 0:00,088051,NA,NA,Y,28.1,1,NA,NA
20/03/2010 0:00,088051,NA,NA,Y,NA,NA,13.2,1
21/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
21/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
21/03/2010 0:00,088051,NA,NA,Y,23.3,1,NA,NA
21/03/2010 0:00,088051,NA,NA,Y,NA,NA,12.4,1
22/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
22/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
22/03/2010 0:00,088051,NA,NA,Y,24.5,1,NA,NA
22/03/2010 0:00,088051,NA,NA,Y,NA,NA,7.2,1
23/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
23/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
23/03/2010 0:00,088051,NA,NA,Y,25.4,1,NA,NA
23/03/2010 0:00,088051,NA,NA,Y,NA,NA,3.9,1
24/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
24/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
24/03/2010 0:00,088051,NA,NA,Y,24.8,1,NA,NA
24/03/2010 0:00,088051,NA,NA,Y,NA,NA,9.9,1
25/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
